,mag,time,num_1,scale_1,num_2,scale_2,num_3,scale_3,num_4,scale_4,num_5,scale_5,num_6,scale_6,num_7,scale_7,num_8,scale_8,num_9,scale_9,num_10,scale_10,num_11,scale_11,num_12,scale_12,num_13,scale_13,num_14,scale_14
89,5.5,2018-01-17 13:45:00,27.0,0.28125,2.0,0.010416666666666666,13.0,0.04513888888888889,18.0,0.046875,28.0,0.058333333333333334,3.0,0.005208333333333333,44.0,0.06547619047619048,1.0,0.0013020833333333333,24.0,0.027777777777777776,23.0,0.023958333333333335,25.0,0.023674242424242424,28.0,0.024305555555555556,7.0,0.005608974358974359,47.0,0.034970238095238096
90,5.3,2018-02-04 21:00:00,78.0,0.8125,67.0,0.3489583333333333,89.0,0.3090277777777778,76.0,0.19791666666666666,29.0,0.06041666666666667,9.0,0.015625,46.0,0.06845238095238096,32.0,0.041666666666666664,29.0,0.03356481481481482,25.0,0.026041666666666668,38.0,0.03598484848484849,35.0,0.030381944444444444,28.0,0.022435897435897436,31.0,0.023065476190476192
91,6.2,2018-02-06 23:45:00,77.0,0.8020833333333334,55.0,0.2864583333333333,,,,,,,,,,,,,,,,,,,,,,,,
92,5.5,2018-02-19 22:45:00,45.0,0.46875,55.0,0.2864583333333333,45.0,0.15625,43.0,0.11197916666666667,49.0,0.10208333333333333,48.0,0.08333333333333333,58.0,0.08630952380952381,43.0,0.055989583333333336,69.0,0.0798611111111111,70.0,0.07291666666666667,82.0,0.07765151515151515,,,,,,
93,5.6,2018-02-22 07:00:00,45.0,0.46875,53.0,0.2760416666666667,,,,,,,,,,,,,,,,,,,,,,,,
94,5.4,2018-02-26 02:15:00,66.0,0.6875,45.0,0.234375,59.0,0.2048611111111111,,,,,,,,,,,,,,,,,,,,,,
95,5.8,2018-03-01 21:30:00,7.0,0.07291666666666667,60.0,0.3125,53.0,0.1840277777777778,,,,,,,,,,,,,,,,,,,,,,
96,5.3,2018-03-20 17:15:00,11.0,0.11458333333333333,0.0,0.0,16.0,0.05555555555555555,1.0,0.0026041666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.003787878787878788,0.0,0.0,2.0,0.0016025641025641025,15.0,0.011160714285714286
97,5.5,2018-05-02 07:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0026041666666666665,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
98,5.3,2018-06-16 04:45:00,11.0,0.11458333333333333,29.0,0.15104166666666666,46.0,0.1597222222222222,26.0,0.06770833333333333,13.0,0.027083333333333334,16.0,0.027777777777777776,15.0,0.022321428571428572,27.0,0.03515625,10.0,0.011574074074074073,1.0,0.0010416666666666667,6.0,0.005681818181818182,17.0,0.014756944444444444,8.0,0.00641025641025641,11.0,0.00818452380952381
99,5.6,2018-07-20 09:30:00,91.0,0.9479166666666666,57.0,0.296875,66.0,0.22916666666666666,35.0,0.09114583333333333,52.0,0.10833333333333334,86.0,0.14930555555555555,78.0,0.11607142857142858,64.0,0.08333333333333333,52.0,0.06018518518518518,39.0,0.040625,54.0,0.05113636363636364,61.0,0.05295138888888889,26.0,0.020833333333333332,47.0,0.034970238095238096
100,5.1,2018-08-18 08:15:00,71.0,0.7395833333333334,43.0,0.22395833333333334,32.0,0.1111111111111111,68.0,0.17708333333333334,77.0,0.16041666666666668,76.0,0.13194444444444445,68.0,0.10119047619047619,46.0,0.059895833333333336,63.0,0.07291666666666667,24.0,0.025,27.0,0.02556818181818182,39.0,0.033854166666666664,48.0,0.038461538461538464,40.0,0.02976190476190476
101,6.1,2018-10-23 12:30:00,44.0,0.4583333333333333,59.0,0.3072916666666667,60.0,0.20833333333333334,84.0,0.21875,63.0,0.13125,45.0,0.078125,24.0,0.03571428571428571,22.0,0.028645833333333332,32.0,0.037037037037037035,26.0,0.027083333333333334,40.0,0.03787878787878788,27.0,0.0234375,31.0,0.024839743589743588,30.0,0.022321428571428572
102,5.3,2018-11-08 05:00:00,51.0,0.53125,72.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,
103,6.2,2018-11-26 07:45:00,73.0,0.7604166666666666,54.0,0.28125,52.0,0.18055555555555555,66.0,0.171875,55.0,0.11458333333333333,51.0,0.08854166666666667,39.0,0.05803571428571429,47.0,0.061197916666666664,43.0,0.04976851851851852,62.0,0.06458333333333334,68.0,0.06439393939393939,64.0,0.05555555555555555,70.0,0.05608974358974359,62.0,0.046130952380952384
104,5.1,2018-12-09 23:15:00,80.0,0.8333333333333334,47.0,0.24479166666666666,67.0,0.2326388888888889,66.0,0.171875,70.0,0.14583333333333334,63.0,0.109375,68.0,0.10119047619047619,76.0,0.09895833333333333,62.0,0.07175925925925926,78.0,0.08125,69.0,0.06534090909090909,77.0,0.06684027777777778,54.0,0.04326923076923077,,
105,5.8,2018-12-16 05:15:00,92.0,0.9583333333333334,81.0,0.421875,79.0,0.2743055555555556,87.0,0.2265625,74.0,0.15416666666666667,66.0,0.11458333333333333,,,,,,,,,,,,,,,,
106,5.4,2019-01-08 20:15:00,71.0,0.7395833333333334,70.0,0.3645833333333333,69.0,0.23958333333333334,73.0,0.19010416666666666,89.0,0.18541666666666667,77.0,0.13368055555555555,96.0,0.14285714285714285,70.0,0.09114583333333333,60.0,0.06944444444444445,72.0,0.075,75.0,0.07102272727272728,75.0,0.06510416666666667,86.0,0.06891025641025642,89.0,0.0662202380952381
107,5.9,2019-01-30 13:15:00,66.0,0.6875,84.0,0.4375,67.0,0.2326388888888889,87.0,0.2265625,68.0,0.14166666666666666,52.0,0.09027777777777778,64.0,0.09523809523809523,88.0,0.11458333333333333,63.0,0.07291666666666667,76.0,0.07916666666666666,64.0,0.06060606060606061,75.0,0.06510416666666667,61.0,0.04887820512820513,75.0,0.05580357142857143
108,5.1,2019-02-15 22:00:00,62.0,0.6458333333333334,56.0,0.2916666666666667,63.0,0.21875,46.0,0.11979166666666667,84.0,0.175,80.0,0.1388888888888889,60.0,0.08928571428571429,52.0,0.06770833333333333,68.0,0.0787037037037037,59.0,0.06145833333333333,77.0,0.07291666666666667,79.0,0.0685763888888889,62.0,0.049679487179487176,60.0,0.044642857142857144
